DNI;Nombre;Apellido;Segmento
11111112;Pepe;Argento;ORO
11111113;Jimena;Lacobra;PLATA
11111114;Sandra;Lezcano;BRONCE
11111115;Lorenzo;Porto;ORO
11111116;Francisco;Guzman;PLATA
11111117;Mai;Martinez;PLATA
11111118;Sofia;Rimolo;PLATA
11111119;Micaela;Gomez;ORO
11111120;Joaquin;Morales;PLATA
11111121;Jose;Peña;BRONCE
11111122;Marisa;Acosta;ORO
11111123;Manuel;Piñeiro;PLATA
11111124;Susana;Sanchez;PLATA
11111125;Patricio;Govea;PLATA
11111126;Mateo;Cruz;ORO
11111127;Patricia;Espluga;PLATA
11111128;Felipe;Pluma;BRONCE
11111129;Paula;Bravo;ORO
11111130;Rocio;Cortes;PLATA
11111131;Juan Manuel;Gonzalez;PLATA
11111132;Ignacio;Corta;PLATA
11111133;Ines;Banquito;ORO
11111134;Joaquina;Rubia;PLATA
11111135;Cristian David;Carlos;BRONCE
11111136;Facundo;TuVieja;ORO
11111137;Tamara;Uva;PLATA
11111138;Lara;Ori;PLATA
11111139;Teresa;Diaz;PLATA
11111140;Lautaro;Martinez;ORO
11111141;Daniel;Saez;PLATA
11111142;Rosario;Gomez;BRONCE
11111143;Teodoro;Roseveelt;ORO
11111144;Juan Jose;Gonzalez;PLATA
11111145;Juan Ignacio;Sanchez;ORO
11111146;Juan Diego;Playa;PLATA
11111147;Ricardo;Fort;ORO
11111148;Elvis;Presley;PLATA
11111149;Tom;Cruise;BRONCE
11111150;Leonardo;Di Caprio;ORO
11111151;Luciana;Salazar;PLATA
11111152;Bradd;Pit;PLATA
11111153;Angelina;Jolie;PLATA
11111154;Jeniffer;Aniston;ORO
11111155;Anne;Hathaway;PLATA
11111156;Ana Taylor ;Joy;BRONCE
11111157;Batman;Robin;ORO
11111158;Capitan;America;PLATA
11111159;Spiderman;Araña;PLATA
11111160;Pedro;Pedro;PLATA
